,游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数,开发游戏个数,isdata,score,Chinese,English,Japanese,Korean,heat,year,month,day,pay,system,containGames,gameversion
1025,Evo探险,6.3,冒险解谜,中文,29℃,2016/4/29,1.3.4.0,完全免费,,4.0以上,392,736,0,0,0,1,0,0,0,29,0,8,246,1,4,0,1 
1026,女巫格尼玛汉化版,7.7,冒险解谜,中文,29℃,2014/12/8,1.1,完全免费,Microsheep,2.2以上,2915,1169,1,0,1,1,0,0,0,29,2,24,754,1,2.2,0,1 
1027,整容照相机,,益智休闲,英文,29℃,2016/3/8,2.1.9,完全免费,Oren Bengigi,2.3以上,40,26,1,0,0,0,1,0,0,29,0,9,298,1,2.3,0,2 
1028,熊猫快跑,,益智休闲,英文,29℃,2016/2/22,1.2.8,完全免费,Sailfish Games,2.3以上,64,26,1,0,0,0,1,0,0,29,0,10,313,1,2.3,1,1 
1029,火柴拼图,,益智休闲,英文,29℃,2016/1/26,1.7.10,完全免费,Celtic Spear,2.3以上,44,24,1,0,0,0,1,0,0,29,0,11,340,1,2.3,0,1 
1030,保卫鬼屋:恐怖城镇,6,益智休闲,英文,29℃,2015/12/2,1.4.6,完全免费,SFB Games,2.3以上,2088,992,1,0,0,0,1,0,0,29,1,12,395,1,2.3,1,1 
1031,卡车模拟器2016专业版(含数据包),5.8,模拟经营,英文,29℃,2015/10/19,1.6,完全免费,Mageeks Apps & Games,2.3以上,2385,610,1,1,0,0,1,0,0,29,1,14,439,1,2.3,1,1 
1032,三国杀online,5.4,棋牌游戏,中文,29℃,2015/8/28,2.8.8,道具收费,炫彩互动,1.6以上,247,190,1,0,0,1,0,0,0,29,1,16,491,0,1.6,0,2 
1033,果冻乐队,,音乐游戏,英文,29℃,2015/8/26,2.12,完全免费,iDreams,2.3以上,165,98,4,0,0,0,1,0,0,29,1,16,493,1,2.3,0,2 
1034,探险活宝:游戏巫师(含数据包),5.1,动作游戏,"英文, 中文",29℃,2015/7/19,1.2.0,完全免费,Cartoon Network,4.1以上,421,764,3,1,0,1,1,0,0,29,1,17,531,1,4.1,0,1 
1035,流光飞舞,5.3,益智休闲,英文,29℃,2015/5/23,1.0.1612,完全免费,Many Monkeys Development Pty Ltd,4.0.3以上,443,853,1,0,0,0,1,0,0,29,1,19,588,1,4.03,0,1 
1036,铁匠迷情2汉化修改版,5.6,益智休闲,中文,29℃,2015/4/23,1.12.1,完全免费,Tuesday Quest,2.3以上,1304,557,1,0,0,1,0,0,0,29,1,20,618,1,2.3,0,1 
1037,百战天虫3汉化版(含数据包),7.7,益智休闲,中文,29℃,2014/6/25,1.82,完全免费,Team 17,2.3以上,1768,985,2,1,1,1,0,0,0,29,2,30,920,1,2.3,0,1 
1038,血饮狂刀:任务(含数据包),7.8,动作游戏,英文,29℃,2015/3/6,1.0.0,完全免费,Mass Creation,3.0以上,1176,444,2,1,1,0,1,0,0,29,1,21,666,1,3,0,1 
1039,僵尸炮手(含数据包),8.1,射击游戏,英文,29℃,2015/2/11,1,完全免费,"BitMonster, Inc.",4.0以上,3551,907,1,1,1,0,1,0,0,29,1,22,689,1,4,0,1
1040,闪电战机2,,飞行游戏,中文,29℃,2015/1/23,2.0.0,道具收费,触控科技,2.1以上,149,43,9,0,0,1,0,0,0,29,1,23,708,0,2.1,0,2 
1041,MAME安卓街机模拟器,,游戏工具,中文,29℃,2015/1/16,3.1.1,完全免费,,2.1以上,310,123,0,0,0,1,0,0,0,29,1,23,715,1,2.1,0,3 
1042,勇者斗恶龙5:天空的新娘汉化版(含数据包),8.1,角色扮演,中文,29℃,2014/12/29,1.0.1,完全免费,SQEX,2.3以上,3490,819,18,1,1,1,0,0,0,29,2,24,733,1,2.3,0,1 
1043,高山滑雪,5,体育运动,英文,29℃,2014/10/27,1.38.1,完全免费,Golden Hammer Software,2.3以上,100,24,1,0,0,0,1,0,0,29,2,26,796,1,2.3,0,1 
1044,初音未来:虚拟女友汉化版,5.3,音乐游戏,中文,29℃,2014/8/21,1.2,完全免费,MARZA ANIMATION PLANET INC.,2.3.3以上,986,809,1,0,0,1,0,0,0,29,2,28,863,1,2.33,0,1 
1045,神之折纸完整版,5.4,益智休闲,英文,29℃,2013/12/23,1.0.4,完全免费,State of Play Games,2.2以上,126,358,1,0,0,0,1,0,0,29,3,36,1104,1,2.2,1,1 
1046,僵尸仙境2,,射击游戏,英文,29℃,2014/2/8,1.7,完全免费,Xoobis,2.1以上,154,79,1,0,0,0,1,0,0,29,2,34,1057,1,2.1,0,1 
1047,兔子迷宫大冒险,,益智休闲,英文,29℃,2014/4/9,1.3.0,完全免费,Eyelead Software Inc.,2.2以上,90,23,1,0,0,0,1,0,0,29,2,32,997,1,2.2,0,1 
1048,斩铁剑,,动作游戏,英文,29℃,2014/2/27,1.1.1,完全免费,CatfishBlues Games,2.2以上,246,20,2,0,0,0,1,0,0,29,2,34,1038,1,2.2,1,1 
1049,生命精灵,5,益智休闲,英文,29℃,2014/2/19,3.0.4,完全免费,Mikrotie Ltd,2.3.3以上,49,84,1,0,0,0,1,0,0,29,2,34,1046,1,2.33,0,3 
1050,大脚怪:追踪阴影完整版(含数据包),7.7,冒险解谜,中文,29℃,2013/12/6,1,完全免费,G5,2.1以上,816,381,13,1,1,1,0,0,0,29,3,36,1121,1,2.1,0,1
1051,猎魔之塔,7.8,策略塔防,英文,29℃,2013/10/21,1.6.4,完全免费,Ember Entertainment,2.3以上,740,19,1,0,1,0,1,0,0,29,3,38,1167,1,2.3,0,1 
1052,街头霸王4,8.3,格斗游戏,英文,29℃,2013/9/3,1.00.03,完全免费,Capcom,2.3以上,3892,30,4,0,1,0,1,0,0,29,3,39,1215,1,2.3,0,1 
1053,战斗之石,7.8,动作游戏,英文,29℃,2013/8/5,1.1.290016,完全免费,Zynga,2.3以上,604,72,5,0,1,0,1,0,0,29,3,40,1244,1,2.3,0,1 
1054,最后的战争,,角色扮演,"英文, 韩文",29℃,2013/5/15,1.9.2,完全免费,GAMEVIL,2.2以上,247,29,22,0,0,0,1,0,1,29,3,43,1326,1,2.2,0,1 
1055,银河火战2三星商店版,8,射击游戏,英文,29℃,2013/5/13,1.0.1,完全免费,FISHLABS Entertainment GmbH,2.3以上,618,118,4,0,1,0,1,0,0,29,3,43,1328,1,2.3,0,1 
1056,骷髅部队,,射击游戏,英文,29℃,2013/4/16,1.1.4,完全免费,Odi Games,2.3以上,86,17,1,0,0,0,1,0,0,29,3,44,1355,1,2.3,1,1 
1057,现代冲突,5.5,策略塔防,中文,29℃,2013/2/20,1.2.1,完全免费,Gaijin Entertainment,2.1以上,121,115,2,0,0,1,0,0,0,29,3,46,1410,1,2.1,0,1 
1058,不朽的黄昏,,角色扮演,"英文, 韩文",29℃,2013/2/18,1.0.2,完全免费,GAMEVIL,2.1以上,84,55,22,0,0,0,1,0,1,29,3,46,1412,1,2.1,0,1 
1059,恶魔大作战金币修改版(含数据包),8.3,养成游戏,中文,29℃,2012/12/10,1.1.5,完全免费,Gameloft,2.2以上,4156,165,32,1,1,1,0,0,0,29,4,48,1482,1,2.2,0,1 
1060,3D乒乓球完整版,,体育运动,英文,29℃,2012/10/21,2.7.3,完全免费,Clapfoot Inc.,2.1以上,22,6,2,0,0,0,1,0,0,29,4,50,1532,1,2.1,0,2 
1061,拉厕纸,,益智休闲,英文,29℃,2012/8/20,1.7.2,完全免费,Reverie,1.6以上,44,4,1,0,0,0,1,0,0,29,4,52,1594,1,1.6,0,1 
1062,太平洋飞虎队免费版,,飞行游戏,英文,29℃,2012/7/20,1.31,完全免费,Kalloc Studios,2.1以上,45,7,3,0,0,0,1,0,0,29,4,53,1625,1,2.1,0,1 
1063,中国象棋-棋弈通,,棋牌游戏,中文,29℃,2012/4/2,2.2,完全免费,,1.5以上,48,5,0,0,0,1,0,0,0,29,4,56,1734,1,1.5,0,2 
1064,QQ卡丁车(含数据包)免QQ游戏大厅版,,竞速游戏,中文,29℃,2012/2/21,1,完全免费,,1.5以上,236,25,0,1,0,1,0,0,0,29,4,58,1775,1,1.5,0,1
1065,宇宙探险队汉化版,5.1,模拟经营,中文,29℃,2011/11/23,1.0.0,完全免费,Kairosoft,1.6以上,154,112,8,0,0,1,0,0,0,29,5,61,1865,1,1.6,0,1 
1066,阿拉巴马史密斯逃离庞培城普通版,,益智休闲,英文,29℃,2011/10/25,1.5,完全免费,Alawar,1.6以上,116,45,3,0,0,0,1,0,0,29,5,62,1894,1,1.6,0,1 
1067,世界超级摩托车锦标赛16完整版(含数据包),5.6,竞速游戏,"英文, 中文",28℃,2016/9/30,1.0.7,完全免费,Digital Tales S.r.l.,4.0.3以上,155,321,1,1,0,1,1,0,0,28,0,3,92,1,4.03,0,1 
1068,模拟山羊MMO(含数据包),7,动作游戏,"英文, 中文",28℃,2016/9/27,1.2.5,完全免费,Coffee Stain Studios,4.0.3以上,2562,920,4,1,0,1,1,0,0,28,0,3,95,1,4.03,0,1 
1069,豹子王,,棋牌游戏,中文,28℃,2016/9/26,2.6.2,道具收费,深圳市融网汇智科技有限公司,2.2以上,84,65,1,0,0,1,0,0,0,28,0,3,96,0,2.2,0,2 
1070,不死之身(含数据包),8,射击游戏,"英文, 中文",28℃,2016/9/22,0.6.1,完全免费,Madfinger Games,4.1以上,5627,1077,6,1,1,1,1,0,0,28,0,3,100,1,4.1,1,0 
1071,公路骑手,7.9,竞速游戏,"英文, 中文",28℃,2016/9/18,1.2,完全免费,Andrey,2.3以上,2510,1149,1,0,1,1,1,0,0,28,0,3,104,1,2.3,0,1 
1072,克鲁赛德战记,6.2,益智休闲,"英文, 中文",28℃,2016/9/14,2.8.6.KG,完全免费,NHN Entertainment Corp.,3.0以上,683,539,1,0,0,1,1,0,0,28,0,3,108,1,3,0,2 
1073,MOBIUS最终幻想,9.1,角色扮演,日文,28℃,2016/9/8,1.4.051,完全免费,SQEX,2.3以上,5277,2422,18,0,1,0,0,1,0,28,0,3,114,1,2.3,0,1 
1074,古墓丽影1,8.3,动作游戏,英文,28℃,2016/9/7,1.0.42RC,完全免费,SQEX,4.0以上,4677,583,18,0,1,0,1,0,0,28,0,3,115,1,4,0,1 
1075,鹿神完整版(含数据包),7,冒险解谜,英文,28℃,2016/9/7,1.19,完全免费,Crescent Moon,4.0以上,2673,1878,8,1,0,0,1,0,0,28,0,3,115,1,4,0,1 
1076,暗影忍者修改版,5.2,动作游戏,英文,28℃,2014/9/2,1.1.4,完全免费,Brain Eaters,2.1以上,340,309,1,0,0,0,1,0,0,28,2,27,851,1,2.1,0,1 
1077,辐射:庇护所(含数据包),8.4,模拟经营,英文,28℃,2016/8/25,1.7.1,完全免费,Bethesda,4.1以上,8426,3803,1,1,1,0,1,0,0,28,0,4,128,1,4.1,0,1 
1078,真实摩托(含数据包),4.7,竞速游戏,"英文, 中文",28℃,2016/8/23,1.0.216,完全免费,Dreamplay,2.3以上,999,486,1,1,0,1,1,0,0,28,0,4,130,1,2.3,0,1 
1079,老狼快跑,,益智休闲,英文,28℃,2016/8/15,2.3,完全免费,Bulkypix,2.0.1以上,78,27,3,0,0,0,1,0,0,28,0,4,138,1,2.01,0,2 
1080,异形工厂(含数据包),7.7,射击游戏,"英文, 中文",28℃,2016/8/5,1.5.1,完全免费,Pixelbite StudiOS,4.3以上,2575,945,1,1,1,1,1,0,0,28,0,4,148,1,4.3,0,1 
1081,小小军团(含数据包),7.8,策略塔防,中文,28℃,2016/8/3,2.2.1,完全免费,Triniti Interactive Ltd.,2.3以上,876,719,6,1,1,1,0,0,0,28,0,4,150,1,2.3,0,2 
1082,光之骑士(含数据包),5.7,动作游戏,中文,28℃,2016/7/14,1.0.8,完全免费,,2.3.3以上,779,370,0,1,0,1,0,0,0,28,0,5,170,1,2.33,0,1 
1083,神树小奇兵:罗宾之怒,8.1,角色扮演,中文,28℃,2016/7/7,2.0.5,道具收费,北京掌趣科技股份有限公司,4.0以上,4599,289,2,0,1,1,0,0,0,28,0,5,177,0,4,0,2 
1084,拳皇97,5.3,格斗游戏,中文,28℃,2016/6/8,2.8.6745,道具收费,北京武耀科技有限公司,2.3.3以上,204,102,2,0,0,1,0,0,0,28,0,6,206,0,2.33,0,2 
1085,机器人历险记,6.7,冒险解谜,英文,28℃,2016/5/24,1.1,完全免费,Martin Magni,2.3.3以上,398,330,1,0,0,0,1,0,0,28,0,7,221,1,2.33,0,1 
1086,忍者释放,4.8,动作游戏,英文,28℃,2016/5/7,2.3,完全免费,Arkadium Games,4.0以上,95,83,1,0,0,0,1,0,0,28,0,7,238,1,4,1,2 
1087,神偷鲍勃2：双重麻烦(含数据包),8,策略塔防,英文,28℃,2016/4/29,1.3.0,完全免费,Chillingo,4.1以上,2045,567,10,1,1,0,1,0,0,28,0,8,246,1,4.1,0,1 
1088,行尸走肉:米琼恩(含数据包),7.2,冒险解谜,"英文, 中文",28℃,2016/4/29,1.11,完全免费,Telltale Games,2.3.3以上,3179,1731,3,1,0,1,1,0,0,28,0,8,246,1,2.33,1,1 
1089,小小守卫者(含数据包),8.4,策略塔防,英文,28℃,2016/4/26,1.1.5,完全免费,Kurechii,4.0以上,7569,2700,1,1,1,0,1,0,0,28,0,8,249,1,4,0,1 
1090,OPUS地球计划,7.6,模拟经营,中文,28℃,2016/4/15,1.4.1,完全免费,北京唯我乐园信息技术有限公司,4.1以上,2985,1831,2,0,1,1,0,0,0,28,0,8,260,1,4.1,0,1 
1091,最佳视角(含数据包),6.2,冒险解谜,"英文, 中文",28℃,2016/3/24,1.6,完全免费,,4.0.3以上,408,1065,0,1,0,1,1,0,0,28,0,9,282,1,4.03,0,1 
1092,上帝也疯狂(含数据包),7.8,模拟经营,英文,28℃,2016/3/24,0.0.29,完全免费,DeNA Corp.,4.0.3以上,691,793,1,1,1,0,1,0,0,28,0,9,282,1,4.03,0,0 
1093,奇想齿轮市场版,5.1,益智休闲,英文,28℃,2016/2/1,1.1,完全免费,Lazy 8 Studios,2.2以上,110,48,1,0,0,0,1,0,0,28,0,10,334,1,2.2,0,1 
1094,粘土世界,7.7,益智休闲,中文,28℃,2014/12/19,1.9,完全免费,Zynga,2.3以上,722,150,5,0,1,1,0,0,0,28,2,24,743,1,2.3,0,1 
1095,时空穿越完整版(含数据包),5.4,冒险解谜,英文,28℃,2015/5/29,1.1,完全免费,osao,2.3.3以上,2174,556,1,1,0,0,1,0,0,28,1,19,582,1,2.33,0,1 
1096,莎凡特,,动作游戏,英文,28℃,2015/11/23,1.70.6,完全免费,,2.3以上,102,49,0,0,0,0,1,0,0,28,1,13,404,1,2.3,0,1 
1097,暗黑斩2,5.2,动作游戏,英文,28℃,2015/11/3,1.26,完全免费,veewo studio,3.0以上,1806,470,2,0,0,0,1,0,0,28,1,13,424,1,3,0,1 
1098,社交梦物语汉化版,7.5,模拟经营,中文,28℃,2014/9/19,1.1.1,完全免费,Kairosoft,2.3.3以上,715,265,8,0,1,1,0,0,0,28,2,27,834,1,2.33,0,1 
1099,砸酒瓶,7.1,益智休闲,英文,28℃,2015/9/17,1.1.0,完全免费,Droid Hermes,2.3以上,514,24,1,0,0,0,1,0,0,28,1,15,471,1,2.3,0,1 
1100,群猫大战,5.1,益智休闲,英文,28℃,2015/9/16,2.5,完全免费,WestRiver,2.3以上,427,67,5,0,0,0,1,0,0,28,1,15,472,1,2.3,0,2 
1101,狙击手汉化版,4.7,射击游戏,中文,28℃,2011/7/21,1.2,完全免费,Words Mobile,1.5以上,185,49,1,0,0,1,0,0,0,28,5,65,1990,1,1.5,0,1 
1102,空中小岛完整版(含数据包),5.4,冒险解谜,中文,28℃,2014/3/21,1,完全免费,G5,2.3以上,311,753,13,1,0,1,0,0,0,28,2,33,1016,1,2.3,0,1
1103,2XL极限摩托,,竞速游戏,英文,28℃,2015/9/16,1.1.4,完全免费,2XL Games,3.0以上,269,120,1,0,0,0,1,0,0,28,1,15,472,1,3,1,1 
1104,疯狂超市2完整版(含数据包),5.9,冒险解谜,中文,28℃,2013/12/5,1.3,完全免费,G5,2.1以上,222,264,13,1,0,1,0,0,0,28,3,36,1122,1,2.1,0,1 
1105,村庄日记,7.5,益智休闲,英文,28℃,2015/9/10,1.1.3,完全免费,Chillingo,4.0.3以上,607,72,10,0,1,0,1,0,0,28,1,15,478,1,4.03,0,1 
1106,玩具塔防4:星海战争修改版(含数据包),8,策略塔防,中文,28℃,2014/5/12,1,完全免费,Melesta Games,2.3.3以上,791,357,2,1,1,1,0,0,0,28,2,31,964,1,2.33,1,1
1107,追梦(含数据包),6,音乐游戏,中文,28℃,2015/7/13,1.2,完全免费,ibuki,2.3以上,2279,2076,1,1,0,1,0,0,0,28,1,17,537,1,2.3,0,1 
1108,烧绳子世界版,,益智休闲,英文,28℃,2015/7/6,1.0.6,完全免费,Big Blue Bubble,2.3.3以上,63,41,2,0,0,0,1,0,0,28,1,17,544,1,2.33,0,1 
1109,四季之魂(含数据包),7.5,冒险解谜,英文,28℃,2015/6/19,2,完全免费,Noxus Ltd,4.0以上,683,646,1,1,1,0,1,0,0,28,1,18,561,1,4,0,2
1110,都市传说:逃离杉泽村汉化版,5.3,冒险解谜,中文,28℃,2015/6/18,1.0.0,完全免费,SEEC,4.0以上,1438,503,1,0,0,1,0,0,0,28,1,18,562,1,4,0,1 
1111,微型桌球完整版,5.1,体育运动,英文,28℃,2015/1/20,1.1,完全免费,Botond FM Bt.,2.3以上,148,191,1,0,0,0,1,0,0,28,1,23,711,1,2.3,0,1 
1112,挤痘痘,,益智休闲,英文,28℃,2015/4/27,20,完全免费,Room Candy Games,2.2以上,78,29,1,0,0,0,1,0,0,28,1,20,614,1,2.2,1,20
1113,捕鱼达人土豪金,5.1,益智休闲,中文,28℃,2015/4/23,1.1.4,道具收费,触控科技,2.2以上,145,25,9,0,0,1,0,0,0,28,1,20,618,0,2.2,0,1 
1114,任务守卫者,,角色扮演,英文,28℃,2015/4/23,1.71,完全免费,Tyson Ibele,2.3以上,541,233,1,0,0,0,1,0,0,28,1,20,618,1,2.3,0,1 
1115,水果大逃亡,,益智休闲,英文,28℃,2015/3/12,2.0.4,完全免费,MPC GAMES,2.3以上,98,25,1,0,0,0,1,0,0,28,1,21,660,1,2.3,0,2 
1116,开心酷跑（超人来袭）,,益智休闲,中文,28℃,2015/2/10,4.1,道具收费,深圳海富荣,2.1以上,209,95,1,0,0,1,0,0,0,28,1,22,690,0,2.1,0,4 
1117,疯狂捕鱼2,5.1,益智休闲,中文,28℃,2015/2/11,2.0.4,道具收费,深圳市艾德聚乐科技有限公司,2.1以上,91,24,1,0,0,1,0,0,0,28,1,22,689,0,2.1,0,2 
1118,弯钩机关,5.6,益智休闲,英文,28℃,2015/2/3,1.01,完全免费,Rainbow Train,2.3以上,264,566,1,0,0,0,1,0,0,28,1,22,697,1,2.3,0,1 
1119,机器人大战高清版,,射击游戏,英文,28℃,2015/1/26,1.4.1j,完全免费,Fenix Fire Entertainment,2.3.3以上,215,150,1,0,0,0,1,0,0,28,1,23,705,1,2.33,0,1 
1120,重拳出击,7.9,益智休闲,英文,28℃,2014/11/4,1.2.5,完全免费,Noodlecake,2.3以上,802,161,5,0,1,0,1,0,0,28,2,25,788,1,2.3,0,1 
1121,不机械城(含数据包),7.9,冒险解谜,英文,28℃,2014/10/9,1.02,完全免费,Teotl Studios,4.0.3以上,708,1066,1,1,1,0,1,0,0,28,2,26,814,1,4.03,0,1 
1122,小怪兽求包养3,8.5,益智休闲,英文,28℃,2014/9/1,1.0.0,完全免费,Bit Ate Bit,2.3以上,3202,381,2,0,1,0,1,0,0,28,2,27,852,1,2.3,0,1 
1123,吟唱勇士,7.7,角色扮演,英文,28℃,2014/6/5,1.4.6,完全免费,TreeFortress Games,4.0以上,601,54,1,0,1,0,1,0,0,28,2,30,940,1,4,1,1 
1124,死亡漩涡2修改版(含数据包),5.1,射击游戏,英文,28℃,2014/5/28,1.1.6,完全免费,N3V Games,3.0以上,197,275,3,1,0,0,1,0,0,28,2,31,948,1,3,1,1 
1125,会说话的泰迪熊,5,益智休闲,英文,28℃,2014/5/15,2.0.5.1,完全免费,Talking Toys,2.3.3以上,61,26,1,0,0,0,1,0,0,28,2,31,961,1,2.33,0,2 
1126,《黑暗破坏神3》游戏指南,5.2,游戏工具,中文,28℃,2014/4/23,3.0.11,完全免费,YT,2.2以上,89,28,1,0,0,1,0,0,0,28,2,32,983,1,2.2,0,3 
1127,猴子岛闯关2,8,益智休闲,英文,28℃,2014/4/16,1.3.8,完全免费,GameHouse,1.6以上,679,28,2,0,1,0,1,0,0,28,2,32,990,1,1.6,0,1 
1128,极速枢纽,5,音乐游戏,英文,28℃,2014/4/3,1.53,完全免费,,2.3以上,119,156,0,0,0,0,1,0,0,28,2,32,1003,1,2.3,0,1 
1129,史上最贱暴走游戏,,冒险解谜,英文,28℃,2014/3/13,1.2.3,完全免费,,2.2以上,189,60,0,0,0,0,1,0,0,28,2,33,1024,1,2.2,0,1 
1130,火箭机器人(含数据包),5.2,益智休闲,英文,28℃,2014/2/11,2,完全免费,Bad Kraken Games,4.2以上,161,342,1,1,0,0,1,0,0,28,2,34,1054,1,4.2,1,2
1131,角斗士之怒(含数据包),7.9,格斗游戏,英文,28℃,2013/12/7,1.1.1,完全免费,Gamelion Studios,2.3.3以上,755,82,4,1,1,0,1,0,0,28,3,36,1120,1,2.33,0,1 
1132,迷你英雄:背水一战(含数据包),8,射击游戏,英文,28℃,2013/12/6,1.21,完全免费,Triniti Interactive Ltd.,2.0.1以上,866,151,6,1,1,0,1,0,0,28,3,36,1121,1,2.01,0,1 
1133,黑暗生物(含数据包),5.1,益智休闲,中文,28℃,2013/12/6,2,完全免费,MTV Networks,2.3.3以上,190,102,1,1,0,1,0,0,0,28,3,36,1121,1,2.33,0,2
1134,虎胆龙威,7.3,射击游戏,英文,28℃,2013/7/5,1.4,完全免费,"Fox Digital Entertainment, Inc",2.2以上,868,42,2,0,0,0,1,0,0,28,3,41,1275,1,2.2,0,1 
1135,安琪拉之歌,7.8,冒险解谜,英文,28℃,2013/6/27,1.1a,完全免费,,4.0以上,682,948,0,0,1,0,1,0,0,28,3,42,1283,1,4,0,1 
1136,疲惫的小鸟,,益智休闲,英文,28℃,2013/6/12,6,完全免费,CTU GAMES,2.2以上,52,0,1,0,0,0,1,0,0,28,3,42,1298,1,2.2,0,6
1137,俄罗斯方块,,益智休闲,英文,28℃,2013/5/21,1.0.29,完全免费,EA,1.6以上,42,12,28,0,0,0,1,0,0,28,3,43,1320,1,1.6,0,1 
1138,迷你英雄:并肩作战(含数据包),8.6,射击游戏,英文,28℃,2013/4/22,1.21,完全免费,Triniti Interactive Ltd.,2.0.1以上,5247,378,6,1,1,0,1,0,0,28,3,44,1349,1,2.01,0,1 
1139,足球巨星2012,,体育运动,"英文, 韩文",28℃,2013/4/11,1.1.3,完全免费,GAMEVIL,2.2以上,277,40,22,0,0,0,1,0,1,28,3,44,1360,1,2.2,0,1 
1140,斗兽场勇士,4.8,动作游戏,"英文, 韩文",28℃,2011/12/12,1.0.1,完全免费,GAMEVIL,2.2以上,111,58,22,0,0,0,1,0,1,28,5,60,1846,1,2.2,0,1 
