,游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数,开发游戏个数,isdata,score,Chinese,English,Japanese,Korean,heat,year,month,day,pay,system,containGames,gameversion
920,虫虫英雄2(含数据包),8.3,策略塔防,英文,31℃,2016/3/18,1.00.10.1,完全免费,Foursaken Media,2.3以上,3839,1258,3,1,1,0,1,0,0,31,0,9,288,1,2.3,0,1 
921,伯特伦费德历险记(含数据包),7.7,冒险解谜,"英文, 中文",31℃,2015/12/15,1.3,完全免费,Rumpus Animation,2.3以上,2733,1989,1,1,1,1,1,0,0,31,1,12,382,1,2.3,0,1 
922,雷电2014致命空袭,,飞行游戏,中文,31℃,2015/8/25,4.0.0,道具收费,北京奇虎科技有限公司,2.2以上,225,189,1,0,0,1,0,0,0,31,1,16,494,0,2.2,0,4 
923,疯狂奔奔,,动作游戏,英文,31℃,2015/10/26,1.7.16,完全免费,Fluik,2.3以上,174,30,2,0,0,0,1,0,0,31,1,14,432,1,2.3,0,1 
924,帕特森的发明豪华完整版,6.2,益智休闲,"英文, 中文",31℃,2015/10/20,3.0.1,完全免费,Filimundus AB,2.3以上,2737,1048,1,0,0,1,1,0,0,31,1,14,438,1,2.3,0,3 
925,极品狂飙3D,4.9,竞速游戏,中文,31℃,2015/9/16,1.2.15,道具收费,杭州玩魔科技有限公司,2.2以上,358,94,1,0,0,1,0,0,0,31,1,15,472,0,2.2,0,1 
926,三国志战记(含数据包),5.8,策略塔防,日文,31℃,2015/9/14,1.04,完全免费,KOEI TECMO,2.3.3以上,617,704,3,1,0,0,0,1,0,31,1,15,474,1,2.33,0,1 
927,击倒铝罐3(含数据包),8.3,益智休闲,中文,31℃,2015/8/27,1.31,完全免费,Infinite Dream Factory Inc.,4.0以上,5298,481,1,1,1,1,0,0,0,31,1,16,492,1,4,0,1 
928,特技摩托:前线,5.3,竞速游戏,中文,31℃,2015/7/24,3.1.0,道具收费,Ubisoft育碧,2.3.3以上,264,269,10,0,0,1,0,0,0,31,1,17,526,0,2.33,0,3 
929,逃生挑战4完整版(含数据包),5.1,冒险解谜,"英文, 中文",31℃,2015/7/17,1,完全免费,MobiGrow,2.3.3以上,1684,340,1,1,0,1,1,0,0,31,1,17,533,1,2.33,0,1
